Element_Type,Name,Length,Width,X_Position,Y_Position,Rotation,Color
Room,Bedroom_1,125,125,0,0,0,Green
Room,Bedroom_1,125,125,0,125,0,Green
Room,Dining_room_1,125,125,0,250,0,Orange
Room,Kitchen_1,125,125,0,375,0,Yellow
Room,Living_room_1,125,125,0,500,0,Blue
Room,Toilet_1,125,125,0,625,0,Purple
Room,Toilet_1,125,125,0,750,0,Purple
Room,Bedroom_1,125,125,0,875,0,Green
Door,Main_Door,90,10,0,0,90,Brown
Door,Washroom_Door,70,10,450,100,90,DarkBrown
Wall,East_Wall,10,600,600,0,90,Black
Wall,West_Wall,10,600,0,0,90,Black

Room,Bedroom_1,125,100,0,0,0,Green
Room,Bedroom_2,125,100,0,100,0,LightGreen
Room,Guest_Room_3,100,100,0,200,0,Beige
Room,Treasury_Room_4,100,100,0,300,0,Gold
Room,Bath_1,75,100,0,400,0,Purple
Room,Bath_2,75,100,75,400,0,DarkPurple
Room,WC_1,50,50,0,500,0,LightBlue
Room,WC_2,50,50,50,500,0,Blue
Room,Living_Room,200,150,0,550,0,Blue
Room,Dining_Room,150,100,0,700,0,Orange
Room,Kitchen,125,100,150,700,0,Yellow
Room,Study_1,100,100,0,800,0,Brown
Room,Study_2,100,100,100,800,0,DarkBrown
Room,Library,200,125,0,900,0,DarkRed
Room,Playing_Room,175,125,200,900,0,LightPurple
Room,Entrance,90,10,0,0,90,Gray

Door,Main_Door,90,10,0,0,90,Brown
Door,Bath1_Door,70,10,20,400,90,DarkBrown
Door,Study1_Door,70,10,20,800,90,LightGray
Door,Living_Room_Door,90,10,0,550,0,Brown

Wall,East_Wall,10,600,600,0,90,Black
Wall,West_Wall,10,600,0,0,90,Black
Wall,North_Wall,600,10,0,0,0,Black
Wall,South_Wall,600,10,0,1000,0,Black
