Element_Type,Name,Length,Width,X_Position,Y_Position,Rotation,Color
Room,Bedroom_1,125,125,0,0,0,Green
Room,Bedroom_1,125,125,0,125,0,Green
Room,Dining_room_1,125,125,0,250,0,Orange
Room,Kitchen_1,125,125,0,375,0,Yellow
Room,Living_room_1,125,125,0,500,0,Blue
Room,Toilet_1,125,125,0,625,0,Purple
Room,Toilet_1,125,125,0,750,0,Purple
Room,Bedroom_1,125,125,0,875,0,Green
Door,Main_Door,90,10,0,0,90,Brown
Door,Washroom_Door,70,10,450,100,90,DarkBrown
Wall,East_Wall,10,600,600,0,90,Black
Wall,West_Wall,10,600,0,0,90,Black
